Posicao,ID_Beneficiario,Pessoas_Atendidas,Capacidade,Dias_Autonomia,Manancial_Alocado
1,1417,1,16.0,800.0,0
2,460,1,16.0,800.0,0
3,43,1,16.0,800.0,0
4,2544,2,16.0,400.0,0
5,2697,2,16.0,400.0,0
6,3246,2,16.0,400.0,0
7,1840,2,16.0,400.0,0
8,1936,2,16.0,400.0,0
9,3312,2,16.0,400.0,0
10,1599,2,16.0,400.0,0
11,682,2,16.0,400.0,0
12,1430,2,16.0,400.0,0
13,513,2,16.0,400.0,0
14,511,2,16.0,400.0,0
15,1262,2,16.0,400.0,0
16,1258,2,16.0,400.0,0
17,3195,2,16.0,400.0,0
18,488,2,16.0,400.0,0
19,1204,2,16.0,400.0,0
20,675,2,16.0,400.0,0
21,1426,2,16.0,400.0,0
22,2242,2,16.0,400.0,0
23,2927,2,16.0,400.0,0
24,2621,2,16.0,400.0,0
25,3251,2,16.0,400.0,0
26,2819,2,16.0,400.0,0
27,3266,2,16.0,400.0,0
28,40,2,16.0,400.0,0
29,1673,2,16.0,400.0,0
30,1263,2,16.0,400.0,0
31,3066,8,48.0,300.0,49
32,2322,9,50.0,277.78,20
33,966,3,16.0,266.67,7
34,3019,3,16.0,266.67,25
35,875,3,16.0,266.67,1
36,878,3,16.0,266.67,29
37,2057,3,16.0,266.67,60
38,1932,3,16.0,266.67,56
39,150,3,16.0,266.67,71
40,163,3,16.0,266.67,74
41,2800,3,16.0,266.67,83
42,3103,3,16.0,266.67,68
43,1272,3,16.0,266.67,8
44,2298,3,16.0,266.67,54
45,2958,3,16.0,266.67,40
46,1206,3,16.0,266.67,11
47,2725,3,16.0,266.67,18
48,122,3,16.0,266.67,36
49,1142,3,16.0,266.67,59
50,1723,3,16.0,266.67,47
51,2266,3,16.0,266.67,23
52,3020,3,16.0,266.67,80
53,372,3,16.0,266.67,14
54,2279,3,16.0,266.67,88
55,1602,3,16.0,266.67,44
56,2296,3,16.0,266.67,87
57,2564,3,16.0,266.67,88
58,1966,3,16.0,266.67,36
59,2883,3,16.0,266.67,87
60,1691,3,16.0,266.67,9
61,509,3,16.0,266.67,89
62,3128,3,16.0,266.67,73
63,1907,3,16.0,266.67,39
64,912,3,16.0,266.67,72
65,2838,3,16.0,266.67,87
66,3100,3,16.0,266.67,67
67,3268,3,16.0,266.67,37
68,832,3,16.0,266.67,50
69,56,3,16.0,266.67,4
70,58,3,16.0,266.67,83
71,1112,3,16.0,266.67,7
72,1116,3,16.0,266.67,32
73,1462,3,16.0,266.67,12
74,257,3,16.0,266.67,67
75,880,3,16.0,266.67,30
76,854,3,16.0,266.67,21
77,2563,3,16.0,266.67,75
78,508,3,16.0,266.67,74
79,496,3,16.0,266.67,15
80,2534,3,16.0,266.67,41
81,459,3,16.0,266.67,19
82,2430,3,16.0,266.67,25
83,195,3,16.0,266.67,13
