Tempo_Label,Tempo_Segundos,FuncaoObjetivo,BestBound,Gap_Percent,Sum_X,Pico_Y
30min,1800.0,50174.0,41812.0,16.666002311954397,50174,350
1h,3600.0,48118.0,41812.0,13.105282846336092,48118,350
2h,7200.0,46344.0,42113.0,9.129552908682893,46344,350
3h,10800.0,45860.0,42118.0,8.159616223288268,45860,350
4h,14400.0,45370.0,42118.0,7.167731981485563,45370,350
5h,18000.0,45247.0,42118.0,6.915375605012487,45247,350
6h,21600.0,45101.0,42118.0,6.614044034500344,45101,350
7h,25200.0,44959.0,42118.0,6.31909072710692,44959,350
8h,28800.0,44675.0,42186.0,5.5713486289871295,44675,350
9h,32400.0,44590.0,42193.0,5.375644763399865,44590,350
10h,36000.0,44519.0,42193.0,5.2247355061883685,44519,350
11h,39600.0,44476.0,42193.0,5.13310549509848,44476,350
12h,43200.0,44437.0,42193.0,5.0498458491797376,44437,350
13h,46800.0,44420.0,42193.0,5.013507429085997,44420,350
14h,50400.0,44407.0,42193.0,4.985700452631342,44407,350
15h,54000.0,44397.0,42193.0,4.964299389598397,44397,350
16h,57600.0,44378.0,42193.0,4.923610798143224,44378,350
17h,61200.0,44363.0,42193.0,4.891463607059937,44363,350
18h,64800.0,44349.0,42193.0,4.8614399422760375,44349,350
19h,68400.0,44332.0,42193.0,4.824957141568167,44332,350
20h,72000.0,44324.0,42193.0,4.807779081310351,44324,350
21h,75600.0,44322.0,42193.0,4.80348359731059,44322,350
22h,79200.0,44318.0,42193.0,4.7948914662214,44318,350
23h,82800.0,44311.0,42193.0,4.779851504141184,44311,350
24h,86400.0,44309.0,42193.0,4.775553499289083,44309,350
