Tempo_Label,Tempo_Segundos,FuncaoObjetivo,BestBound,Gap_Percent,Sum_X,Pico_Y
1h,3600.0,49013.0,41797.0,14.7226246097974,49013,350
2h,7200.0,48379.0,41797.0,13.605076582814856,48379,350
3h,10800.0,46684.0,41797.0,10.468254648273497,46684,350
4h,14400.0,46583.0,41797.0,10.274134340853958,46583,350
5h,18000.0,46534.0,41797.0,10.179653586624832,46534,350
6h,21600.0,46167.0,41925.0,9.188381311326271,46167,350
7h,25200.0,45953.0,41955.03380711275,8.700120107255788,45953,350
8h,28800.0,45726.0,41955.03380711275,8.246875285149043,45726,350
9h,32400.0,45558.0,41955.03380711275,7.9085258195865755,45558,350
10h,36000.0,45500.0,41955.03380711275,7.791134489862092,45500,350
11h,39600.0,45449.0,41955.03380711275,7.687663519301309,45449,350
12h,43200.0,45394.0,41955.03380711275,7.575816612079243,45394,350
13h,46800.0,45379.0,41955.03380711275,7.545265856204968,45379,350
14h,50400.0,45337.0,41955.03380711275,7.459616191824011,45337,350
15h,54000.0,45295.0,41955.03380711275,7.373807689341542,45295,350
16h,57600.0,45269.0,41955.03380711275,7.320608347626968,45269,350
17h,61200.0,45268.0,41955.03380711275,7.318560998690581,45268,350
18h,64800.0,45225.0,41955.03380711275,7.230439343034277,45225,350
19h,68400.0,45199.0,41955.03380711275,7.177075140793495,45199,350
20h,72000.0,45144.0,41955.03380711275,7.063986782046899,45144,350
21h,75600.0,45111.0,41955.03380711275,6.996001402955492,45111,350
22h,79200.0,45092.0,41955.03380711275,6.956813166165289,45092,350
23h,82800.0,45070.0,41955.03380711275,6.911396034806416,45070,350
24h,86400.0,45064.0,41955.03380711275,6.899001848231963,45064,350
