Tempo_Label,Tempo_Segundos,FuncaoObjetivo,BestBound,Gap_Percent,Sum_X,Pico_Y
1min,60.0,45299.0,43661.0,3.6159738625576727,45299,569
3min,180.0,43907.0,43687.0,0.5010590566424488,43907,462
5min,300.0,43797.0,43701.0,0.21919309541749435,43797,490
10min,600.0,43766.0,43704.0,0.14166247772243293,43766,493
30min,1800.0,43756.0,43707.0,0.11198464210622544,43756,496
1h,3600.0,43756.0,43708.0,0.10969924124691471,43756,496
2h,7200.0,43754.0,43708.0,0.10513324496046075,43754,497
3h,10800.0,43754.0,43708.0,0.10513324496046075,43754,497
4h,14400.0,43754.0,43708.0,0.10513324496046075,43754,497
5h,18000.0,43754.0,43708.0,0.10513324496046075,43754,497
6h,21600.0,43754.0,43708.0,0.10513324496046075,43754,497
7h,25200.0,43754.0,43708.0,0.10513324496046075,43754,497
8h,28800.0,43754.0,43708.0,0.10513324496046075,43754,497
9h,32400.0,43753.0,43708.0,0.10285009027952369,43753,497
10h,36000.0,43753.0,43708.0,0.10285009027952369,43753,497
11h,39600.0,43753.0,43708.0,0.10285009027952369,43753,497
12h,43200.0,43753.0,43708.0,0.10285009027952369,43753,497
13h,46800.0,43753.0,43708.0,0.10285009027952369,43753,497
