Tempo_Label,Tempo_Segundos,FuncaoObjetivo,BestBound,Gap_Percent,Sum_X,Pico_Y
1min,60.0,531544.0,43225.0,91.86802973977694,531544,2152
3min,180.0,531544.0,43225.0,91.86802973977694,531544,2152
5min,300.0,531544.0,43225.0,91.86802973977694,531544,2152
10min,600.0,214643.0,43225.0,79.86191024165707,214643,869
30min,1800.0,85709.0,43225.0,49.56772334293948,85709,347
1h,3600.0,83980.0,43225.0,48.529411764705884,83980,340
2h,7200.0,82251.0,43225.0,47.44744744744745,82251,333
3h,10800.0,82251.0,43225.0,47.44744744744745,82251,333
4h,14400.0,82251.0,43225.0,47.44744744744745,82251,333
5h,18000.0,82251.0,43225.0,47.44744744744745,82251,333
6h,21600.0,82251.0,43225.0,47.44744744744745,82251,333
7h,25200.0,82251.0,43225.0,47.44744744744745,82251,333
8h,28800.0,82251.0,43225.0,47.44744744744745,82251,333
9h,32400.0,82251.0,43225.0,47.44744744744745,82251,333
10h,36000.0,82251.0,43225.0,47.44744744744745,82251,333
11h,39600.0,82251.0,43225.0,47.44744744744745,82251,333
12h,43200.0,82251.0,43225.0,47.44744744744745,82251,333
13h,46800.0,82251.0,43225.0,47.44744744744745,82251,333
14h,50400.0,82251.0,43225.0,47.44744744744745,82251,333
15h,54000.0,82251.0,43225.0,47.44744744744745,82251,333
16h,57600.0,82251.0,43225.0,47.44744744744745,82251,333
17h,61200.0,82251.0,43225.0,47.44744744744745,82251,333
18h,64800.0,82251.0,43225.0,47.44744744744745,82251,333
19h,68400.0,82251.0,43225.0,47.44744744744745,82251,333
20h,72000.0,82251.0,43225.0,47.44744744744745,82251,333
21h,75600.0,82251.0,43225.0,47.44744744744745,82251,333
22h,79200.0,82251.0,43225.0,47.44744744744745,82251,333
23h,82800.0,82251.0,43225.0,47.44744744744745,82251,333
24h,86400.0,82251.0,43225.0,47.44744744744745,82251,333
