Tempo_Label,Tempo_Segundos,FuncaoObjetivo,BestBound,Gap_Percent,Sum_X,Pico_Y
1min,60.0,53519.19999999965,41819.325426783085,21.861078964589602,43795,571
3min,180.0,53519.19999999965,41819.325426783085,21.861078964589602,43795,571
5min,300.0,49558.19999999965,41819.325426783085,15.615729734366093,43785,411
10min,600.0,49558.19999999965,41841.4,15.571187008405676,43785,411
30min,1800.0,49558.19999999965,41846.209026367476,15.561483212933938,43785,411
1h,3600.0,49558.19999999965,41896.7240938655,15.459552417428805,43785,411
2h,7200.0,49558.19999999965,41940.9,15.370412968993428,43785,411
3h,10800.0,48431.799999999595,41949.8,13.38376851572654,43988,358
4h,14400.0,47793.09999999961,41962.604524971655,12.19945028681547,43937,334
5h,18000.0,47775.09999999963,41973.4,12.143773639405614,43917,334
6h,21600.0,47775.09999999963,41992.707739673584,12.103359826198352,43917,334
7h,25200.0,47442.299999999625,42000.0,11.471408426656524,43904,321
8h,28800.0,47189.899999999645,42008.334523823185,10.980242543799624,43898,311
9h,32400.0,47088.39999999964,42017.730563687226,10.768404609866657,43895,307
10h,36000.0,47088.39999999964,42023.41201445201,10.756339110158052,43895,307
11h,39600.0,47029.09999999963,42029.1,10.631715257148592,43884,305
12h,43200.0,46997.19999999964,42040.200000000004,10.54743686857871,43876,304
13h,46800.0,46832.39999999964,42048.700000000004,10.21450961300226,43885,297
14h,50400.0,46710.69999999964,42058.5,9.959602403731214,43887,292
15h,54000.0,46187.49999999965,42065.700000000004,8.924059539918112,43882,271
16h,57600.0,46187.49999999965,42068.5,8.917997293639365,43882,271
17h,61200.0,45886.59999999964,42072.415879655324,8.312195979532909,43877,259
18h,64800.0,45884.79999999965,42075.700000000004,8.301441871817403,43875,259
19h,68400.0,45882.09999999964,42077.40503341003,8.292329615666327,43872,259
20h,72000.0,45876.69999999964,42079.0,8.278058360779372,43866,259
21h,75600.0,45876.69999999964,42081.1,8.273480873732574,43866,259
22h,79200.0,45876.69999999964,42082.200000000004,8.271083142422333,43866,259
23h,82800.0,45875.79999999964,42085.31884058426,8.262485143398937,43865,259
24h,86400.0,45874.899999999645,42086.01689624558,8.259163733880827,43864,259
