Tempo_Label,Tempo_Segundos,FuncaoObjetivo,BestBound,Gap_Percent,Sum_X,Pico_Y
1min,60.0,19092.800000000523,14882.6,22.05124444817108,16557,415
3min,180.0,19092.800000000523,14914.7,21.883118243528493,16557,415
5min,300.0,19092.800000000523,14914.911858924039,21.882008616213284,16557,415
10min,600.0,19092.800000000523,14944.800000000001,21.72546719182314,16557,415
30min,1800.0,18739.300000000523,14977.000000000002,20.077057307372296,16557,380
1h,3600.0,18688.800000000523,15008.013393372315,19.695146861372077,16557,375
2h,7200.0,18638.300000000523,15048.7,19.25926720784847,16557,370
3h,10800.0,17587.900000000518,15096.7,14.164283399385056,16557,266
4h,14400.0,17247.20000000054,15101.400000000001,12.4414397699364,16661,223
5h,18000.0,16937.500000000528,15111.800000000001,10.779040590408677,16575,200
6h,21600.0,16905.80000000052,15113.1,10.604053046886062,16551,199
7h,25200.0,16905.80000000052,15113.1,10.604053046886062,16551,199
8h,28800.0,16904.00000000052,15113.1,10.594533838147568,16549,199
9h,32400.0,16862.000000000517,15113.1,10.371842011626512,16536,196
10h,36000.0,16861.100000000515,15113.507703584139,10.36463988954649,16535,196
11h,39600.0,16859.300000000516,15113.507703584139,10.355069880815478,16533,196
12h,43200.0,16859.300000000516,15113.507703584139,10.355069880815478,16533,196
13h,46800.0,16859.300000000516,15113.507703584139,10.355069880815478,16533,196
14h,50400.0,16859.300000000516,15113.507703584139,10.355069880815478,16533,196
15h,54000.0,16857.500000000517,15113.507703584139,10.345497828363188,16531,196
16h,57600.0,16856.600000000515,15113.507703584139,10.34071103553696,16530,196
17h,61200.0,16854.80000000052,15113.507703584139,10.33113591627505,16528,196
18h,64800.0,16854.80000000052,15113.507703584139,10.33113591627505,16528,196
19h,68400.0,16854.80000000052,15113.507703584139,10.33113591627505,16528,196
20h,72000.0,16853.900000000518,15113.507703584139,10.32634758967554,16527,196
21h,75600.0,16851.20000000052,15113.6,10.311431826816293,16524,196
22h,79200.0,16851.20000000052,15113.6,10.311431826816293,16524,196
23h,82800.0,16850.30000000052,15113.6,10.306641424784518,16523,196
