Tempo_Label,Tempo_Segundos,FuncaoObjetivo,BestBound,Gap_Percent,Sum_X,Pico_Y
1min,60.0,1.5673415e6,42507.0,97.2879554328141,1497073,6630
3min,180.0,815823.0,42507.0,94.7896786435293,802220,3358
5min,300.0,815823.0,42507.0,94.7896786435293,802220,3358
10min,600.0,149264.5,42507.0,71.52236466138969,93025,832
30min,1800.0,110852.5,42530.506290806894,61.633245717681696,87090,545
1h,3600.0,110022.5,42569.5,61.30836874275717,85924,543
2h,7200.0,75716.5,42653.0,43.66749651661131,58561,376
3h,10800.0,64252.0,42704.5,33.53592106082301,54651,299
4h,14400.0,64191.0,42739.0,33.41901512673116,54529,299
5h,18000.0,62662.0,42760.0,31.760875809900735,54435,287
6h,21600.0,62662.0,42772.5,31.74092751587884,54435,287
7h,25200.0,62623.0,42798.5,31.656899222330452,54357,287
8h,28800.0,62570.0,42816.0,31.571040434713122,54251,287
9h,32400.0,62514.0,42825.0,31.495345042710433,54139,287
10h,36000.0,57804.5,42833.0,25.900232680846646,54353,248
11h,39600.0,57730.0,42850.5,25.774294127836477,54204,248
12h,43200.0,57660.5,42859.5,25.669218962721445,54065,248
13h,46800.0,56927.5,42869.0,24.69544596196917,52599,248
14h,50400.0,56835.5,42877.0,24.559474272241822,52415,248
15h,54000.0,56382.0,42882.5,23.942925047000816,52002,246
16h,57600.0,56338.5,42889.5,23.871775073883754,51915,246
17h,61200.0,56301.0,42897.5,23.80685955844479,51840,246
18h,64800.0,54685.0,42901.5,21.547956478010423,51572,234
19h,68400.0,54639.0,42908.03144529111,21.469954711303078,51480,234
20h,72000.0,54351.5,42910.0,21.05093695666173,50905,234
21h,75600.0,54084.0,42912.5,20.65583166925523,50617,233
22h,79200.0,53902.5,42913.0,20.38773711794444,50254,233
23h,82800.0,53657.5,42914.5,20.021432232213577,49764,233
24h,86400.0,53498.0,42914.53985434443,19.782908044516745,49692,232
25h,90000.0,53498.0,42915.0,19.78204792702531,49692,232
26h,93600.0,53466.5,42917.524901962795,19.730064803264106,49629,232
27h,97200.0,53436.0,42921.0,19.677745340220078,49568,232
28h,100800.0,53425.5,42921.5,19.66102329411985,49547,232
29h,104400.0,53424.5,42926.5,19.650160506883545,49545,232
30h,108000.0,53244.0,42927.0,19.376831192247014,49184,232
31h,111600.0,53243.5,42929.5,19.371378665940444,49183,232
32h,115200.0,51975.5,42930.0,17.403391982761107,48870,223
33h,118800.0,51974.5,42932.5,17.39699275606307,48868,223
34h,122400.0,51292.0,42933.0,16.296888403649692,48491,219
35h,126000.0,51172.5,42933.5,16.100444574722754,48252,219
36h,129600.0,50565.0,42936.5,15.086522298032234,48025,215
37h,133200.0,50565.0,42938.0,15.083555819242559,48025,215
38h,136800.0,50545.5,42939.5,15.047828194399107,47986,215
39h,140400.0,50524.0,42941.0,15.008708732483573,47943,215
40h,144000.0,49824.0,42941.5,13.813623956326268,47778,210
41h,147600.0,49824.0,42942.0,13.812620423892099,47778,210
42h,151200.0,49805.0,42943.5,13.776729244051802,47740,210
43h,154800.0,49780.5,42945.0,13.731280320607468,47691,210
44h,158400.0,49740.5,42945.5,13.660900071370413,47611,210
45h,162000.0,49740.5,42945.5,13.660900071370413,47611,210
46h,165600.0,49496.5,42950.0,13.226187710242138,47123,210
47h,169200.0,49496.5,42950.0,13.226187710242138,47123,210
48h,172800.0,49496.5,42950.0,13.226187710242138,47123,210
49h,176400.0,49496.5,42950.0,13.226187710242138,47123,210
50h,180000.0,49260.5,42950.0,12.810466804031629,46651,210
51h,183600.0,48871.5,42950.0,12.116468698525726,46614,207
52h,187200.0,48871.5,42950.0,12.116468698525726,46614,207
53h,190800.0,48871.5,42950.0,12.116468698525726,46614,207
54h,194400.0,48871.5,42950.0,12.116468698525726,46614,207
55h,198000.0,48871.5,42950.0,12.116468698525726,46614,207
56h,201600.0,47996.5,42950.0,10.51430833498276,46099,202
57h,205200.0,47996.5,42950.0,10.51430833498276,46099,202
58h,208800.0,47996.5,42950.0,10.51430833498276,46099,202
59h,212400.0,47996.5,42950.0,10.51430833498276,46099,202
60h,216000.0,47996.5,42950.0,10.51430833498276,46099,202
61h,219600.0,47996.5,42950.0,10.51430833498276,46099,202
62h,223200.0,47996.5,42950.0,10.51430833498276,46099,202
63h,226800.0,47996.5,42950.0,10.51430833498276,46099,202
64h,230400.0,47961.0,42950.0,10.448072392151957,46028,202
65h,234000.0,47961.0,42950.0,10.448072392151957,46028,202
66h,237600.0,47961.0,42950.0,10.448072392151957,46028,202
67h,241200.0,47961.0,42950.0,10.448072392151957,46028,202
68h,244800.0,47961.0,42950.0,10.448072392151957,46028,202
69h,248400.0,47961.0,42950.0,10.448072392151957,46028,202
70h,252000.0,47961.0,42950.0,10.448072392151957,46028,202
71h,255600.0,47961.0,42950.0,10.448072392151957,46028,202
72h,259200.0,47961.0,42950.0,10.448072392151957,46028,202
