Hora,Tempo_Segundos,Objective_HigherBound,Best_LowerBound,Gap_Percent,Pico_Y,Custo_Roteamento,Qtd_Entregas
1,3600.0,2.3815917189329956e6,2.1230783255369663e6,10.854647811416173,353,2.3815917189329006e6,46879
2,7200.0,2.310393373044997e6,2.122829202231187e6,8.11827860147507,317,2.310393373044931e6,45476
3,10800.0,2.2987215345399976e6,2.1228371571253333e6,7.651399909552806,328,2.2987215345399557e6,45244
4,14400.0,2.293151011131996e6,2.123066640096199e6,7.417059330594903,323,2.293151011131954e6,45127
5,18000.0,2.291184176315995e6,2.122272789529245e6,7.372230854803799,340,2.2911841763159516e6,45092
6,21600.0,2.289060883299996e6,2.1224464842017232e6,7.2787229170626215,344,2.289060883299949e6,45049
7,25200.0,2.2867992205289965e6,2.1217616360803265e6,7.216968720607335,318,2.2867992205289463e6,45008
8,28800.0,2.282080373724999e6,2.123444587892814e6,6.951367167373096,339,2.282080373724937e6,44926
9,32400.0,2.279702175925996e6,2.123053711215744e6,6.871444277436067,353,2.27970217592593e6,44872
10,36000.0,2.2790110245479965e6,2.1228567074468243e6,6.851845621595568,356,2.2790110245479303e6,44854
11,39600.0,2.276429260080996e6,2.12265050143703e6,6.755261906908308,372,2.276429260080925e6,44802
12,43200.0,2.274641056298997e6,2.123213732264428e6,6.65719646689891,355,2.274641056298931e6,44768
13,46800.0,2.2725234600689956e6,2.1225961056831144e6,6.597395231349089,350,2.272523460068926e6,44720
14,50400.0,2.2722404496789956e6,2.122702175790862e6,6.58109373544772,347,2.272240449678928e6,44716
15,54000.0,2.271779725392996e6,2.122595969496176e6,6.566823104780214,343,2.271779725392925e6,44709
16,57600.0,2.271298572349998e6,2.1227342771078227e6,6.5409408102812066,339,2.271298572349935e6,44700
17,61200.0,2.2709199001039965e6,2.1225011813328085e6,6.535621039050793,330,2.270919900103927e6,44692
18,64800.0,2.269070789026996e6,2.1223720994120915e6,6.465143807955444,328,2.2690707890269267e6,44659
19,68400.0,2.2677311639379957e6,2.1235004599410696e6,6.360132377704963,352,2.267731163937924e6,44632
20,72000.0,2.2671789662149954e6,2.1233297580617913e6,6.3448545658200555,356,2.267178966214927e6,44623
21,75600.0,2.265575522560996e6,2.123002897911003e6,6.2929981026997375,318,2.2655755225609234e6,44589
22,79200.0,2.265483469561996e6,2.121605618707037e6,6.350867388265513,323,2.2654834695619205e6,44586
23,82800.0,2.264792394123997e6,2.122005871452696e6,6.304618606180439,340,2.2647923941239207e6,44568
24,86400.0,2.2643330801789965e6,2.12285557720108e6,6.248087095328424,333,2.2643330801789216e6,44560
