Hora,Tempo_Segundos,Objective_HigherBound,Best_LowerBound,Gap_Percent,Pico_Y,Custo_Roteamento,Qtd_Entregas
1,3600.0,186209.65554999988,174560.98040770058,6.255677294441623,137,186209.65555000099,2784
2,7200.0,186209.65554999988,174592.9793039161,6.238492956647212,137,186209.65555000099,2784
3,10800.0,186209.65554999988,175711.86959315374,5.637616334039854,137,186209.65555000099,2784
4,14400.0,186209.65554999988,175719.36028216785,5.633593616210311,137,186209.65555000099,2784
5,18000.0,186209.65554999988,174918.6870475821,6.063578426729868,137,186209.65555000099,2784
6,21600.0,186209.65553963504,174961.83180672294,6.040408426495295,125,186209.6555396363,2784
7,25200.0,186209.65553963504,174144.647856047,6.479259976408683,125,186209.6555396363,2784
8,28800.0,186209.65553963504,174169.37222009918,6.465982273928364,125,186209.6555396363,2784
9,32400.0,186209.65553963504,174467.23440868745,6.3060216168265235,125,186209.6555396363,2784
10,36000.0,186209.65553963504,174504.8620814567,6.285814462337032,125,186209.6555396363,2784
11,39600.0,186209.65553963504,174098.0526033884,6.5042829820759,125,186209.6555396363,2784
12,43200.0,186209.65549957525,174107.45781057532,6.499232092198108,123,186209.65549957642,2784
13,46800.0,186209.6555499999,174107.45781057532,6.499232087523038,123,186209.65555000107,2784
14,50400.0,186209.65549957525,174390.02146175384,6.347487194533996,123,186209.65549957642,2784
15,54000.0,186209.65549957525,174407.14798703245,6.3382897477350735,123,186209.65549957642,2784
16,57600.0,186209.65549957525,174194.28763384486,6.452601952081805,123,186209.65549957642,2784
17,61200.0,186209.65549957525,174199.0440024365,6.450047643832379,123,186209.65549957642,2784
18,64800.0,186209.65549957525,173871.51347163325,6.625941063496646,123,186209.65549957642,2784
19,68400.0,186209.65549957525,173878.0009414853,6.622457103529773,123,186209.65549957642,2784
20,72000.0,186209.65549957525,174494.64400548235,6.291301846117012,123,186209.65549957642,2784
21,75600.0,186209.6555499999,174501.03179837984,6.287871440950135,123,186209.65555000107,2784
22,79200.0,186209.6555499999,174501.03179837984,6.287871410887715,123,186209.65555000107,2784
23,82800.0,186209.65549957525,174456.6251021276,6.311719102812287,123,186209.65549957642,2784
24,86400.0,186209.6555499999,174463.44885313482,6.308054575457324,123,186209.65555000107,2784
