Hora,Tempo_Segundos,Objective_HigherBound,Best_LowerBound,Gap_Percent,Pico_Y,Custo_Roteamento,Qtd_Entregas
1,3600.0,1.653342123303003e6,1.5217227701981845e6,7.960805646315521,334,1.6533421233030162e6,32615
2,7200.0,1.6494082137200034e6,1.5217227701981845e6,7.741288206261728,317,1.6494082137200148e6,32526
3,10800.0,1.6357928574750037e6,1.5209535022718315e6,7.020409379977198,321,1.6357928574750142e6,32245
4,14400.0,1.6354312972940032e6,1.5209535022718315e6,6.999853507242248,316,1.6354312972940141e6,32235
5,18000.0,1.6294880245750037e6,1.52178491540834e6,6.6096287632892725,319,1.62948802457502e6,32124
6,21600.0,1.6294880245750037e6,1.52178491540834e6,6.6096287632892725,319,1.62948802457502e6,32124
7,25200.0,1.6265085187470044e6,1.520970285530239e6,6.488636979169815,327,1.626508518747023e6,32059
8,28800.0,1.6265085187470044e6,1.520970285530239e6,6.488636979169815,327,1.626508518747023e6,32059
9,32400.0,1.624026006975004e6,1.5211466874480161e6,6.3348320214782925,331,1.6240260069750214e6,32009
10,36000.0,1.624026006975004e6,1.5211466874480161e6,6.3348320214782925,331,1.6240260069750214e6,32009
11,39600.0,1.622857406328004e6,1.521017216116495e6,6.275362814650499,328,1.622857406328023e6,31984
12,43200.0,1.6227656112830036e6,1.521017216116495e6,6.27006108947943,322,1.6227656112830194e6,31980
13,46800.0,1.6216194702390034e6,1.5213966031132406e6,6.180418338896206,323,1.6216194702390197e6,31955
14,50400.0,1.6216194702390034e6,1.5213966031132406e6,6.180418338896206,323,1.6216194702390197e6,31955
15,54000.0,1.6210945622800037e6,1.521409550594354e6,6.149241013148962,337,1.6210945622800225e6,31940
16,57600.0,1.6210945622800037e6,1.521409550594354e6,6.149241013148962,337,1.6210945622800225e6,31940
17,61200.0,1.6205565363610038e6,1.5214432350382782e6,6.116003922040681,334,1.6205565363610233e6,31928
18,64800.0,1.6205565363610038e6,1.5214432350382782e6,6.116003922040681,334,1.6205565363610233e6,31928
19,68400.0,1.6204541325320036e6,1.5208624891466324e6,6.145909432793173,331,1.6204541325320236e6,31926
20,72000.0,1.6204541325320036e6,1.5208624891466324e6,6.145909432793173,331,1.6204541325320236e6,31926
21,75600.0,1.6204217698660034e6,1.5208624891466324e6,6.1440350019244585,331,1.6204217698660232e6,31925
22,79200.0,1.6203530148860037e6,1.5208624891466324e6,6.1400524962994405,337,1.6203530148860242e6,31924
23,82800.0,1.6199149780910036e6,1.5213400708774207e6,6.08519018261989,337,1.619914978091024e6,31915
24,86400.0,1.6198329520750046e6,1.5213400708774207e6,6.080434471432043,340,1.6198329520750246e6,31913
