Hora,Tempo_Segundos,Objective_HigherBound,Best_LowerBound,Gap_Percent,Pico_Y,Custo_Roteamento,Qtd_Entregas
1,3600.0,2.378386382884997e6,2.1231497906938423e6,10.731502418103785,341,2.3783863828849234e6,46777
2,7200.0,2.3060658809689977e6,2.122784299758549e6,7.9478033443448215,321,2.3060658809689498e6,45372
3,10800.0,2.293782628624997e6,2.123211742560622e6,7.436227127006521,341,2.2937826286249547e6,45150
4,14400.0,2.289409143850997e6,2.12315447381237e6,7.261902944921908,343,2.2894091438509496e6,45066
5,18000.0,2.2869514957279977e6,2.1228339587619943e6,7.176257881838481,325,2.2869514957279433e6,45023
6,21600.0,2.284791045715997e6,2.122869674632157e6,7.0869225169384205,338,2.2847910457159346e6,44973
7,25200.0,2.2828778238629964e6,2.122598223351967e6,7.020945178739811,355,2.2828778238629317e6,44936
8,28800.0,2.2810154844339984e6,2.1237240716486266e6,6.895674924556744,356,2.2810154844339355e6,44890
9,32400.0,2.279561023161995e6,2.12329808824067e6,6.854957306849007,339,2.2795610231619403e6,44858
10,36000.0,2.279107987977999e6,2.1232609050963228e6,6.838073654418716,345,2.279107987977935e6,44849
11,39600.0,2.278192237171997e6,2.122785744116221e6,6.821482863478084,371,2.278192237171936e6,44826
12,43200.0,2.2771172514129956e6,2.1232809074104317e6,6.755749793169655,350,2.277117251412937e6,44805
13,46800.0,2.2762515975269964e6,2.122733603808223e6,6.744333266391167,352,2.276251597526934e6,44791
14,50400.0,2.275523031818997e6,2.1234200815515183e6,6.684307218191128,354,2.2755230318189333e6,44779
15,54000.0,2.2750572285339986e6,2.1227754546364862e6,6.693535968571624,341,2.275057228533931e6,44769
16,57600.0,2.2747344436979983e6,2.122976898977812e6,6.671440050535159,350,2.274734443697932e6,44765
17,61200.0,2.273703814177996e6,2.1234085200416725e6,6.610152703229695,366,2.2737038141779327e6,44751
18,64800.0,2.273269378148997e6,2.1226783886573627e6,6.624423437852878,356,2.2732693781489357e6,44744
19,68400.0,2.2731513083669976e6,2.1234327568374733e6,6.586387407580019,370,2.273151308366934e6,44742
20,72000.0,2.2730944026919967e6,2.1238047656988553e6,6.5676831026612685,344,2.27309440269193e6,44739
21,75600.0,2.2728652821879964e6,2.1233009576848317e6,6.580430686995455,352,2.272865282187931e6,44733
22,79200.0,2.2723841880279975e6,2.1230440496145394e6,6.571958175041577,359,2.272384188027929e6,44725
23,82800.0,2.2719621121309986e6,2.122830865955048e6,6.563984732829564,369,2.2719621121309283e6,44718
24,86400.0,2.271622397493996e6,2.122848202935492e6,6.5492484456320055,363,2.271622397493932e6,44712
