Beneficiario,Fonte
1,31
2,36
3,59
4,9
5,61
6,59
7,51
8,32
9,52
10,19
11,59
12,84
13,26
14,90
15,5
16,42
17,4
18,41
19,12
20,37
21,23
22,82
23,79
24,75
25,58
26,75
27,48
28,61
29,83
30,59
31,62
32,21
33,73
34,77
35,85
36,2
37,88
38,51
39,12
40,0
41,80
42,16
43,0
44,6
45,89
46,49
47,33
48,2
49,6
50,69
51,49
52,48
53,9
54,47
55,45
56,4
57,8
58,83
59,81
60,38
61,60
62,43
63,92
64,20
65,44
66,66
67,77
68,37
69,71
70,33
71,58
72,66
73,55
74,6
75,79
76,89
77,78
78,65
79,51
80,37
81,82
82,25
83,92
84,85
85,9
86,33
87,54
88,41
89,12
90,40
91,37
92,3
93,15
94,80
95,52
96,9
97,53
98,49
99,59
100,73
101,16
102,60
103,74
104,83
105,5
106,21
107,35
108,20
109,4
110,45
111,4
112,18
113,70
114,68
115,60
116,41
117,61
118,79
119,68
120,1
121,35
122,36
123,7
124,51
125,13
126,50
127,21
128,46
129,32
130,91
131,88
132,4
133,67
134,84
135,57
136,70
137,92
138,68
139,71
140,30
141,8
142,86
143,76
144,11
145,27
146,91
147,7
148,44
149,59
150,71
151,63
152,51
153,85
154,82
155,14
156,70
157,32
158,39
159,70
160,3
161,17
162,61
163,74
164,29
165,35
166,37
167,79
168,8
169,70
170,89
171,80
172,72
173,51
174,90
175,31
176,35
177,44
178,37
179,66
180,48
181,46
182,51
183,2
184,24
185,76
186,74
187,66
188,47
189,67
190,3
191,74
192,1
193,41
194,42
195,13
196,57
197,19
198,56
199,27
200,52
201,5
202,25
203,5
204,2
205,73
206,90
207,63
208,76
209,54
210,74
211,77
212,36
213,14
214,92
215,82
216,17
217,13
218,11
219,27
220,92
221,37
222,64
223,3
224,21
225,29
226,64
227,48
228,14
229,21
230,48
231,62
232,63
233,7
234,62
235,54
236,20
237,27
238,18
239,1
240,53
241,86
242,59
243,57
244,30
245,1
246,89
247,1
248,52
249,86
250,48
251,27
252,14
253,20
254,76
255,42
256,25
257,67
258,80
259,46
260,50
261,56
262,60
263,42
264,40
265,1
266,81
267,34
268,50
269,39
270,78
271,36
272,86
273,74
274,20
275,18
276,9
277,60
278,13
279,66
280,73
281,26
282,36
283,38
284,70
285,52
286,28
287,15
288,78
289,55
290,62
291,8
292,33
293,85
294,2
295,75
296,56
297,76
298,43
299,92
300,11
301,50
302,51
303,72
304,64
305,28
306,65
307,36
308,61
309,14
310,18
311,15
312,11
313,71
314,67
315,7
316,85
317,8
318,83
319,55
320,46
321,23
322,39
323,91
324,25
325,22
326,20
327,36
328,92
329,46
330,40
331,8
332,25
333,38
334,73
335,57
336,67
337,80
338,89
339,1
340,72
341,2
342,52
343,67
344,84
345,22
346,27
347,16
348,62
349,71
350,67
351,69
352,44
353,2
354,90
355,5
356,61
357,7
358,3
359,62
360,10
361,42
362,66
363,17
364,61
365,77
366,9
367,81
368,63
369,83
370,7
371,73
372,14
373,56
374,57
375,28
376,72
377,34
378,71
379,77
380,49
381,53
382,40
383,20
384,29
385,13
386,73
387,13
388,6
389,1
390,89
391,92
392,2
393,28
394,86
395,87
396,81
397,45
398,69
399,20
400,64
401,80
402,2
403,84
404,66
405,86
406,10
407,76
408,17
409,59
410,60
411,31
412,75
413,37
414,74
415,80
416,52
417,56
418,43
419,23
420,32
421,16
422,76
423,16
424,9
425,1
426,92
427,64
428,5
429,31
430,89
431,90
432,84
433,49
434,72
435,24
436,68
437,83
438,5
439,87
440,69
441,89
442,13
443,38
444,1
445,18
446,63
447,41
448,27
449,40
450,85
451,83
452,55
453,20
454,46
455,46
456,12
457,19
458,2
459,19
460,0
461,4
462,27
463,22
464,31
465,34
466,54
467,54
468,72
469,52
470,75
471,27
472,71
473,86
474,8
475,90
476,72
477,92
478,16
479,41
480,4
481,21
482,66
483,44
484,30
485,43
486,88
487,86
488,0
489,23
490,49
491,49
492,15
493,22
494,5
495,22
496,15
497,7
498,30
499,25
500,34
501,37
502,57
503,57
504,75
505,55
506,78
507,30
508,74
509,89
510,11
511,0
512,75
513,0
514,19
515,44
516,2
517,24
518,69
519,47
520,33
521,46
522,91
523,90
524,61
525,26
526,52
527,52
528,18
529,25
530,8
531,25
532,18
533,10
534,33
535,28
536,37
537,40
538,60
539,60
540,78
541,58
542,81
543,33
544,77
545,92
546,1
547,68
548,78
549,73
550,22
551,47
552,5
553,27
554,2
555,50
556,36
557,49
558,82
559,91
560,15
561,29
562,55
563,55
564,21
565,28
566,11
567,28
568,21
569,13
570,36
571,31
572,40
573,43
574,63
575,63
576,81
577,4
578,84
579,2
580,57
581,91
582,17
583,15
584,80
585,76
586,8
587,91
588,15
589,74
590,3
591,46
592,90
593,52
594,89
595,60
596,85
597,38
598,58
599,38
600,35
601,31
602,14
603,31
604,3
605,17
606,39
607,79
608,18
609,47
610,66
611,66
612,50
613,64
614,87
615,39
616,83
617,91
618,6
619,74
620,85
621,79
622,28
623,53
624,5
625,6
626,8
627,56
628,42
629,55
630,88
631,63
632,6
633,35
634,61
635,61
636,27
637,34
638,17
639,34
640,27
641,19
642,42
643,37
644,46
645,49
646,69
647,69
648,87
649,10
650,47
651,63
652,35
653,73
654,67
655,39
656,57
657,4
658,91
659,8
660,83
661,2
662,84
663,28
664,8
665,7
666,79
667,86
668,4
669,20
670,54
671,42
