Dia,Custo,Entregas
1,0.0,0
2,81.7905,1
3,81.8619,1
4,355.3592,10
5,871.1941,18
6,1838.2421,51
7,0.0,0
8,0.0,0
9,3411.8734,81
10,2739.2629,57
11,2244.7137,62
12,3031.9625,69
13,6650.4811,148
14,0.0,0
15,0.0,0
16,6214.9493,126
17,5057.2733,119
18,5173.9041,115
19,3153.2373,92
20,7410.7005,164
21,0.0,0
22,0.0,0
23,8233.6515,189
24,5290.4357,139
25,5228.1213,135
26,6594.7018,166
27,6674.5126,155
28,0.0,0
29,0.0,0
30,8346.7014,186
31,5987.7191,156
32,5233.6136,132
33,6874.4029,187
34,6927.6833,175
35,0.0,0
36,0.0,0
37,8602.6057,213
38,5813.3261,144
39,7341.5389,188
40,7741.7531,183
41,7591.9047,213
42,0.0,0
43,0.0,0
44,9007.2685,228
45,7820.8227,202
46,7475.5987,192
47,7263.6924,221
48,12221.9595,288
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,0
53,0.0,0
54,16513.1817,377
55,9281.3141,250
56,0.0,0
57,0.0,0
58,10231.2264,257
59,10228.8913,264
60,7316.0443,197
61,7211.7106,190
62,7192.9252,196
63,0.0,0
64,0.0,0
65,9605.4164,258
66,7486.9446,224
67,8051.5153,217
68,8465.5157,212
69,8162.3596,228
70,0.0,0
71,0.0,0
72,10967.1681,268
73,8040.329,230
74,5822.3953,162
75,6004.2253,179
76,8836.3041,217
77,0.0,0
78,0.0,0
79,12630.9254,326
80,7435.5434,205
81,7321.6506,192
82,5920.9766,156
83,6123.8551,148
84,0.0,0
85,0.0,0
86,9351.1699,236
87,6983.8906,194
88,6467.9702,169
89,4629.4991,120
90,7551.6154,187
91,0.0,0
92,0.0,0
93,8914.0085,204
94,5275.3515,142
95,8530.3409,214
96,7112.2555,184
97,0.0,0
98,0.0,0
99,0.0,0
100,10533.9897,233
101,3921.0033,102
102,4816.3016,123
103,5120.3338,111
104,6613.4565,137
105,0.0,0
106,0.0,0
107,7214.3476,194
108,8067.2185,233
109,8245.325,254
110,11785.4951,355
111,0.0,0
112,0.0,0
113,0.0,0
114,17502.7665,527
115,14668.333,447
116,15713.2909,462
117,20795.6539,520
118,21962.2696,569
119,0.0,0
120,0.0,0
121,0.0,0
122,2312.6488,58
123,2361.157,51
124,1484.6686,47
125,4509.3951,115
126,0.0,0
127,0.0,0
128,7015.0784,174
129,5589.8531,137
130,6598.6676,158
131,6029.7956,151
132,7710.2866,184
133,0.0,0
134,0.0,0
135,7229.5455,175
136,6219.9359,156
137,7728.4699,195
138,6048.6833,158
139,8148.8142,197
140,0.0,0
141,0.0,0
142,8619.7027,235
143,6613.6908,179
144,7458.7968,184
145,7196.4374,179
146,9199.7,246
147,0.0,0
148,0.0,0
149,8391.6952,200
150,7244.9295,197
151,6865.1956,183
152,7669.5051,207
153,8618.7106,218
154,0.0,0
155,0.0,0
156,10631.2033,264
157,7225.9598,197
158,8666.5742,227
159,0.0,0
160,10141.0102,275
161,0.0,0
162,0.0,0
163,10411.9203,254
164,7260.5789,195
165,8452.818,216
166,7385.4639,213
167,7751.0677,196
168,0.0,0
169,0.0,0
170,9487.0519,252
171,9348.5394,225
172,6348.9956,170
173,6235.9168,178
174,7318.3438,200
175,0.0,0
176,0.0,0
177,8037.8708,206
178,7784.4486,201
179,8023.9705,212
180,6107.5485,161
181,7882.9541,208
182,0.0,0
183,0.0,0
184,8928.9927,243
185,7337.7138,180
186,8160.669,206
187,6656.4313,157
188,7283.0328,177
189,0.0,0
190,0.0,0
191,6772.6707,172
192,7014.5098,173
193,6023.294,160
194,6691.8735,170
195,7535.2277,180
196,0.0,0
197,0.0,0
198,8782.1229,206
199,4736.9983,119
200,5158.7979,128
201,6170.9218,155
202,5432.047,143
203,0.0,0
204,0.0,0
205,9184.4231,210
206,4445.6064,109
207,4255.3314,94
208,3755.983,94
209,6167.8207,145
210,0.0,0
211,0.0,0
212,7198.3763,159
213,4152.923,121
214,6356.0934,154
215,5498.4122,149
216,9276.4534,258
217,0.0,0
218,0.0,0
219,11940.139,339
220,10690.2369,329
221,13677.1391,401
222,15974.4034,445
223,17947.0887,502
224,0.0,0
225,0.0,0
226,20313.1613,563
227,20536.0089,581
228,1565.5504,35
229,867.0501,31
230,2791.2612,73
231,0.0,0
232,0.0,0
233,5517.5887,130
234,4645.6343,107
235,4836.6822,128
236,4588.1115,125
237,6558.8221,152
238,0.0,0
239,0.0,0
240,8896.3953,205
241,5520.6268,136
242,6858.1085,160
243,8619.4796,224
244,7603.6271,198
245,0.0,0
246,0.0,0
247,9010.9196,215
248,7883.238,209
249,7993.7161,206
250,0.0,0
251,8624.7077,219
252,0.0,0
253,0.0,0
254,9495.0345,242
255,6597.0881,178
256,8699.1211,214
257,8277.8517,211
258,8011.2984,202
259,0.0,0
260,0.0,0
261,8679.7993,217
262,6656.3348,185
263,7326.6741,187
264,6769.4872,182
265,8428.8559,222
266,0.0,0
267,0.0,0
268,8902.5914,237
269,7070.4715,196
270,8686.6676,222
271,7144.4682,198
272,8494.5042,224
273,0.0,0
274,0.0,0
275,10555.2394,267
276,0.0,0
277,8608.3671,215
278,8030.2103,214
279,9611.1893,250
280,0.0,0
281,0.0,0
282,9460.1587,242
283,8573.3339,222
284,9004.9314,225
285,0.0,0
286,9093.4859,247
287,0.0,0
288,0.0,0
289,9406.293,229
290,7356.6841,200
291,7529.6821,201
292,8045.1129,215
293,8975.3808,208
294,0.0,0
295,0.0,0
296,6766.7772,186
297,5335.6295,129
298,6867.8214,163
299,6690.2318,171
300,7174.7246,192
301,0.0,0
302,0.0,0
303,9411.3378,217
304,6658.3851,165
305,6061.9302,149
306,0.0,0
307,10312.257,249
308,0.0,0
309,0.0,0
310,6648.8784,175
311,6022.6261,144
312,6758.3861,153
313,3555.171,79
314,5897.514,150
315,0.0,0
316,0.0,0
317,7436.7525,168
318,4320.766,97
319,0.0,0
320,17374.9252,483
321,12944.0622,370
322,0.0,0
323,0.0,0
324,12947.7858,376
325,12991.0625,384
326,12116.7653,362
327,14432.4928,406
328,12758.7377,354
329,0.0,0
330,0.0,0
331,19841.4396,479
