Beneficiarios,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,16.0,15.8,15.600000000000001,15.400000000000002,15.200000000000003,15.000000000000004,14.800000000000004,14.600000000000005,14.400000000000006,14.200000000000006,14.000000000000007,13.800000000000008,13.600000000000009,13.40000000000001,13.20000000000001,13.00000000000001,12.800000000000011,12.600000000000012,12.400000000000013,12.200000000000014,12.000000000000014,11.800000000000015,11.600000000000016,4.400000000000001,4.200000000000001,4.000000000000001,3.800000000000001,3.600000000000001,3.400000000000001,3.2000000000000006,3.0000000000000004,2.8000000000000003,2.6,2.4,2.1999999999999997,1.9999999999999998,1.7999999999999998,1.5999999999999999,1.4,1.2,1.0,0.8,0.6000000000000001,0.4,0.2,0.0
2,16.0,15.8,15.600000000000001,15.400000000000002,15.200000000000003,15.000000000000004,14.800000000000004,14.600000000000005,14.400000000000006,14.200000000000006,14.000000000000007,13.800000000000008,13.600000000000009,13.40000000000001,13.20000000000001,13.00000000000001,12.800000000000011,12.600000000000012,12.400000000000013,12.200000000000014,12.000000000000014,11.800000000000015,11.600000000000016,4.400000000000001,4.200000000000001,4.000000000000001,3.800000000000001,3.600000000000001,3.400000000000001,3.2000000000000006,3.0000000000000004,2.8000000000000003,2.6,2.4,2.1999999999999997,1.9999999999999998,1.7999999999999998,1.5999999999999999,1.4,1.2,1.0,0.8,0.6000000000000001,0.4,0.2,0.0
3,16.0,15.68,15.36,15.04,14.719999999999999,14.399999999999999,14.079999999999998,13.759999999999998,13.439999999999998,13.119999999999997,12.799999999999997,12.479999999999997,12.159999999999997,11.839999999999996,11.519999999999996,11.199999999999996,10.879999999999995,10.559999999999995,10.239999999999995,9.919999999999995,9.599999999999994,9.279999999999994,8.959999999999994,7.040000000000002,6.7200000000000015,6.400000000000001,6.080000000000001,5.760000000000001,5.44,5.12,4.8,4.4799999999999995,4.159999999999999,3.8399999999999994,3.5199999999999996,3.1999999999999997,2.88,2.56,2.24,1.9200000000000002,1.6,1.28,0.96,0.64,0.32,0.0
4,16.0,15.8,15.600000000000001,15.400000000000002,15.200000000000003,15.000000000000004,14.800000000000004,14.600000000000005,14.400000000000006,14.200000000000006,14.000000000000007,13.800000000000008,13.600000000000009,13.40000000000001,13.20000000000001,13.00000000000001,12.800000000000011,12.600000000000012,12.400000000000013,12.200000000000014,12.000000000000014,11.800000000000015,11.600000000000016,4.400000000000001,4.200000000000001,4.000000000000001,3.800000000000001,3.600000000000001,3.400000000000001,3.2000000000000006,3.0000000000000004,2.8000000000000003,2.6,2.4,2.1999999999999997,1.9999999999999998,1.7999999999999998,1.5999999999999999,1.4,1.2,1.0,0.8,0.6000000000000001,0.4,0.2,0.0
5,16.0,15.76,15.52,15.28,15.04,14.799999999999999,14.559999999999999,14.319999999999999,14.079999999999998,13.839999999999998,13.599999999999998,13.359999999999998,13.119999999999997,12.879999999999997,12.639999999999997,12.399999999999997,12.159999999999997,11.919999999999996,11.679999999999996,11.439999999999996,11.199999999999996,10.959999999999996,10.719999999999995,5.280000000000003,5.040000000000003,4.8000000000000025,4.560000000000002,4.320000000000002,4.080000000000002,3.8400000000000016,3.6000000000000014,3.360000000000001,3.120000000000001,2.880000000000001,2.6400000000000006,2.4000000000000004,2.16,1.92,1.68,1.44,1.2,0.96,0.72,0.48,0.24,0.0
6,16.0,15.48,14.96,14.440000000000001,13.920000000000002,13.400000000000002,12.880000000000003,12.360000000000003,11.840000000000003,11.320000000000004,10.800000000000004,10.280000000000005,9.760000000000005,9.240000000000006,8.720000000000006,8.200000000000006,7.680000000000007,7.160000000000007,6.640000000000008,6.120000000000008,5.6000000000000085,5.080000000000009,4.560000000000009,1.56,1.04,0.52,0.0,9.359999999999996,8.839999999999996,8.319999999999997,7.799999999999997,7.279999999999998,6.759999999999998,6.239999999999998,5.719999999999999,5.199999999999999,4.68,4.16,3.64,3.12,2.6,2.08,1.56,1.04,0.52,0.0
7,16.0,15.8,15.600000000000001,15.400000000000002,15.200000000000003,15.000000000000004,14.800000000000004,14.600000000000005,14.400000000000006,14.200000000000006,14.000000000000007,13.800000000000008,13.600000000000009,13.40000000000001,13.20000000000001,13.00000000000001,12.800000000000011,12.600000000000012,12.400000000000013,12.200000000000014,12.000000000000014,11.800000000000015,11.600000000000016,4.400000000000001,4.200000000000001,4.000000000000001,3.800000000000001,3.600000000000001,3.400000000000001,3.2000000000000006,3.0000000000000004,2.8000000000000003,2.6,2.4,2.1999999999999997,1.9999999999999998,1.7999999999999998,1.5999999999999999,1.4,1.2,1.0,0.8,0.6000000000000001,0.4,0.2,0.0
8,16.0,15.88,15.760000000000002,15.640000000000002,15.520000000000003,15.400000000000004,15.280000000000005,15.160000000000005,15.040000000000006,14.920000000000007,14.800000000000008,14.680000000000009,14.56000000000001,14.44000000000001,14.320000000000011,14.200000000000012,14.080000000000013,13.960000000000013,13.840000000000014,13.720000000000015,13.600000000000016,13.480000000000016,13.360000000000017,2.6400000000000015,2.5200000000000014,2.4000000000000012,2.280000000000001,2.160000000000001,2.040000000000001,1.9200000000000008,1.8000000000000007,1.6800000000000006,1.5600000000000005,1.4400000000000004,1.3200000000000003,1.2000000000000002,1.08,0.96,0.84,0.72,0.6,0.48,0.36,0.24,0.12,0.0
9,16.0,15.8,15.600000000000001,15.400000000000002,15.200000000000003,15.000000000000004,14.800000000000004,14.600000000000005,14.400000000000006,14.200000000000006,14.000000000000007,13.800000000000008,13.600000000000009,13.40000000000001,13.20000000000001,13.00000000000001,12.800000000000011,12.600000000000012,12.400000000000013,12.200000000000014,12.000000000000014,11.800000000000015,11.600000000000016,4.400000000000001,4.200000000000001,4.000000000000001,3.800000000000001,3.600000000000001,3.400000000000001,3.2000000000000006,3.0000000000000004,2.8000000000000003,2.6,2.4,2.1999999999999997,1.9999999999999998,1.7999999999999998,1.5999999999999999,1.4,1.2,1.0,0.8,0.6000000000000001,0.4,0.2,0.0
10,16.0,15.46,14.920000000000002,14.380000000000003,13.840000000000003,13.300000000000004,12.760000000000005,12.220000000000006,11.680000000000007,11.140000000000008,10.600000000000009,10.06000000000001,9.52000000000001,8.980000000000011,8.440000000000012,7.900000000000012,7.360000000000012,6.820000000000012,6.280000000000012,5.740000000000012,5.200000000000012,4.660000000000012,4.120000000000012,0.0,11.339999999999996,10.799999999999997,10.259999999999998,9.719999999999999,9.18,8.64,8.100000000000001,7.5600000000000005,7.0200000000000005,6.48,5.94,5.4,4.86,4.32,3.7800000000000002,3.24,2.7,2.16,1.62,1.08,0.54,0.0
11,16.0,15.64,15.280000000000001,14.920000000000002,14.560000000000002,14.200000000000003,13.840000000000003,13.480000000000004,13.120000000000005,12.760000000000005,16.0,15.64,15.280000000000001,14.920000000000002,14.560000000000002,14.200000000000003,13.840000000000003,13.480000000000004,13.120000000000005,12.760000000000005,12.400000000000006,12.040000000000006,11.680000000000007,7.920000000000003,7.560000000000002,7.200000000000002,6.840000000000002,6.480000000000001,6.120000000000001,5.760000000000001,5.4,5.04,4.68,4.319999999999999,3.959999999999999,3.599999999999999,3.2399999999999993,2.8799999999999994,2.5199999999999996,2.1599999999999997,1.7999999999999998,1.44,1.08,0.72,0.36,0.0
12,16.0,15.74,15.48,15.22,14.96,14.700000000000001,14.440000000000001,14.180000000000001,13.920000000000002,13.660000000000002,13.400000000000002,13.140000000000002,12.880000000000003,12.620000000000003,12.360000000000003,12.100000000000003,11.840000000000003,11.580000000000004,11.320000000000004,11.060000000000004,10.800000000000004,10.540000000000004,10.280000000000005,5.719999999999997,5.459999999999997,5.1999999999999975,4.939999999999998,4.679999999999998,4.419999999999998,4.159999999999998,3.8999999999999986,3.639999999999999,3.379999999999999,3.119999999999999,2.8599999999999994,2.5999999999999996,2.34,2.08,1.82,1.56,1.3,1.04,0.78,0.52,0.26,0.0
13,16.0,15.8,15.600000000000001,15.400000000000002,15.200000000000003,15.000000000000004,14.800000000000004,14.600000000000005,14.400000000000006,14.200000000000006,14.000000000000007,13.800000000000008,13.600000000000009,13.40000000000001,13.20000000000001,13.00000000000001,12.800000000000011,12.600000000000012,12.400000000000013,12.200000000000014,12.000000000000014,11.800000000000015,11.600000000000016,4.400000000000001,4.200000000000001,4.000000000000001,3.800000000000001,3.600000000000001,3.400000000000001,3.2000000000000006,3.0000000000000004,2.8000000000000003,2.6,2.4,2.1999999999999997,1.9999999999999998,1.7999999999999998,1.5999999999999999,1.4,1.2,1.0,0.8,0.6000000000000001,0.4,0.2,0.0
14,16.0,15.7,15.399999999999999,15.099999999999998,14.799999999999997,14.499999999999996,14.199999999999996,13.899999999999995,13.599999999999994,13.299999999999994,12.999999999999993,12.699999999999992,12.399999999999991,12.09999999999999,11.79999999999999,11.49999999999999,11.199999999999989,10.899999999999988,10.599999999999987,10.299999999999986,9.999999999999986,9.699999999999985,9.399999999999984,6.599999999999998,6.299999999999998,5.999999999999998,5.699999999999998,5.399999999999999,5.099999999999999,4.799999999999999,4.499999999999999,4.199999999999999,3.899999999999999,3.599999999999999,3.2999999999999994,2.9999999999999996,2.6999999999999997,2.4,2.1,1.8,1.5,1.2,0.8999999999999999,0.6,0.3,0.0
15,16.0,15.82,15.64,15.46,15.280000000000001,15.100000000000001,14.920000000000002,14.740000000000002,14.560000000000002,14.380000000000003,14.200000000000003,14.020000000000003,13.840000000000003,13.660000000000004,13.480000000000004,13.300000000000004,13.120000000000005,12.940000000000005,12.760000000000005,12.580000000000005,12.400000000000006,12.220000000000006,12.040000000000006,3.9600000000000013,3.780000000000001,3.600000000000001,3.420000000000001,3.2400000000000007,3.0600000000000005,2.8800000000000003,2.7,2.52,2.34,2.1599999999999997,1.9799999999999995,1.7999999999999996,1.6199999999999997,1.4399999999999997,1.2599999999999998,1.0799999999999998,0.8999999999999999,0.72,0.54,0.36,0.18,0.0
16,16.0,15.66,15.32,14.98,14.64,14.3,13.96,13.620000000000001,13.280000000000001,12.940000000000001,12.600000000000001,12.260000000000002,11.920000000000002,11.580000000000002,11.240000000000002,10.900000000000002,10.560000000000002,10.220000000000002,9.880000000000003,9.540000000000003,9.200000000000003,8.860000000000003,8.520000000000003,7.479999999999998,7.139999999999998,6.799999999999998,6.459999999999998,6.119999999999998,5.7799999999999985,5.439999999999999,5.099999999999999,4.759999999999999,4.419999999999999,4.079999999999999,3.7399999999999993,3.3999999999999995,3.0599999999999996,2.7199999999999998,2.38,2.04,1.7000000000000002,1.36,1.02,0.68,0.34,0.0
17,16.0,15.7,15.399999999999999,15.099999999999998,14.799999999999997,14.499999999999996,14.199999999999996,13.899999999999995,13.599999999999994,13.299999999999994,12.999999999999993,12.699999999999992,12.399999999999991,12.09999999999999,11.79999999999999,11.49999999999999,11.199999999999989,10.899999999999988,10.599999999999987,10.299999999999986,9.999999999999986,9.699999999999985,9.399999999999984,6.599999999999998,6.299999999999998,5.999999999999998,5.699999999999998,5.399999999999999,5.099999999999999,4.799999999999999,4.499999999999999,4.199999999999999,3.899999999999999,3.599999999999999,3.2999999999999994,2.9999999999999996,2.6999999999999997,2.4,2.1,1.8,1.5,1.2,0.8999999999999999,0.6,0.3,0.0
18,16.0,15.8,15.600000000000001,15.400000000000002,15.200000000000003,15.000000000000004,14.800000000000004,14.600000000000005,14.400000000000006,14.200000000000006,14.000000000000007,13.800000000000008,13.600000000000009,13.40000000000001,13.20000000000001,13.00000000000001,12.800000000000011,12.600000000000012,12.400000000000013,12.200000000000014,12.000000000000014,11.800000000000015,11.600000000000016,4.400000000000001,4.200000000000001,4.000000000000001,3.800000000000001,3.600000000000001,3.400000000000001,3.2000000000000006,3.0000000000000004,2.8000000000000003,2.6,2.4,2.1999999999999997,1.9999999999999998,1.7999999999999998,1.5999999999999999,1.4,1.2,1.0,0.8,0.6000000000000001,0.4,0.2,0.0
19,16.0,15.6,15.2,14.799999999999999,14.399999999999999,13.999999999999998,13.599999999999998,13.199999999999998,12.799999999999997,12.399999999999997,11.999999999999996,11.599999999999996,11.199999999999996,10.799999999999995,10.399999999999995,9.999999999999995,9.599999999999994,9.199999999999994,8.799999999999994,8.399999999999993,7.999999999999993,7.5999999999999925,7.199999999999992,1.2000000000000002,0.8,0.4,0.0,7.200000000000002,6.800000000000002,6.400000000000001,6.000000000000001,5.6000000000000005,5.2,4.8,4.3999999999999995,3.9999999999999996,3.5999999999999996,3.1999999999999997,2.8,2.4,2.0,1.6,1.2000000000000002,0.8,0.4,0.0
20,16.0,15.84,15.68,15.52,15.36,15.2,15.04,14.879999999999999,14.719999999999999,14.559999999999999,14.399999999999999,14.239999999999998,14.079999999999998,13.919999999999998,13.759999999999998,13.599999999999998,13.439999999999998,13.279999999999998,13.119999999999997,12.959999999999997,12.799999999999997,12.639999999999997,12.479999999999997,3.520000000000001,3.3600000000000008,3.2000000000000006,3.0400000000000005,2.8800000000000003,2.72,2.56,2.4,2.2399999999999998,2.0799999999999996,1.9199999999999997,1.7599999999999998,1.5999999999999999,1.44,1.28,1.12,0.9600000000000001,0.8,0.64,0.48,0.32,0.16,0.0
21,16.0,15.58,15.16,14.74,14.32,13.9,13.48,13.06,12.64,12.22,11.8,11.38,10.96,10.540000000000001,10.120000000000001,9.700000000000001,9.280000000000001,8.860000000000001,8.440000000000001,8.020000000000001,7.600000000000001,7.1800000000000015,6.760000000000002,5.46,5.04,4.62,4.2,3.78,3.36,2.94,2.52,2.1,1.68,1.26,0.84,0.42,0.0,3.36,2.94,2.52,2.1,1.68,1.26,0.84,0.42,0.0
