Beneficiario,Volume
1,2.8
2,2.8
3,4.48
4,2.8
5,3.36
6,7.28
7,2.8
8,1.68
9,2.8
10,7.56
11,5.04
12,3.64
13,2.8
14,4.2
15,2.52
16,4.76
17,4.2
18,2.8
19,5.6
20,2.24
21,5.88
22,2.8
23,5.04
24,2.8
25,8.96
26,5.6
27,4.2
28,2.8
29,8.4
30,0.44
31,7.0
32,8.4
33,11.2
34,5.6
35,4.76
36,3.08
37,1.4
38,4.76
39,1.12
40,4.959999999999926
41,6.44
42,3.36
43,10.47999999999992
44,4.2
45,7.28
46,1.12
47,2.8
48,1.4
49,4.2
50,1.96
51,2.24
52,1.68
53,8.68
54,1.96
55,2.8
56,0.84
57,7.72
58,0.84
59,2.8
60,10.92
61,8.0
62,2.24
63,3.08
64,2.24
65,3.08
66,7.84
67,3.36
68,2.24
69,3.36
70,5.32
71,7.0
72,5.6
73,3.36
74,8.68
75,2.24
76,2.24
77,3.36
78,2.8
79,1.4
80,13.72
81,2.8
82,1.4
83,4.2
84,2.52
85,2.8
86,11.2
87,5.88
88,3.36
89,8.36
90,2.24
91,1.68
92,1.96
93,13.82
94,6.44
95,1.96
96,2.4
97,3.64
98,8.4
99,2.24
100,3.36
101,3.36
102,7.0
103,2.24
104,12.48
105,2.34
106,3.08
107,3.36
108,4.2
109,6.76
110,10.64
111,10.92
112,1.68
113,3.08
114,2.8
115,8.68
116,14.84
117,5.2
118,4.48
119,2.8
120,1.4
121,1.4
122,0.84
123,4.2
124,3.4
125,6.44
126,4.48
127,9.52
128,2.8
129,12.6
130,4.48
131,3.92
132,2.52
133,1.96
134,10.92
135,5.04
136,1.96
137,5.6
138,6.44
139,1.12
140,9.8
141,3.8
142,1.84
143,3.4
144,8.4
145,2.08
146,5.76
147,7.28
148,10.36
149,2.24
150,0.84
151,3.92
152,4.2
153,2.24
154,1.4
155,1.68
156,1.4
157,1.96
158,2.24
159,2.24
160,1.68
161,1.4
162,2.8
163,0.84
164,2.24
165,2.24
166,2.8
167,1.68
168,2.8
169,11.0
170,9.96
171,1.12
172,1.68
173,12.32
174,10.36
175,3.08
176,13.44
177,11.76
178,14.56
179,3.36
180,1.96
181,0.44
182,6.32
183,3.92
184,13.16
185,3.84
186,1.68
187,3.8
188,1.12
189,10.64
190,1.68
191,6.44
192,9.24
193,2.52
194,11.2
195,0.84
196,4.48
197,1.68
198,2.8
199,1.96
200,12.6
201,4.76
202,2.76
203,7.28
204,2.24
205,12.04
206,5.6
207,7.0
208,11.2
209,9.52
210,2.8
211,11.2
212,7.84
213,3.4
214,13.16
215,6.16
216,8.120000000000001
217,7.84
218,11.08
219,7.56
220,12.32
221,10.52
222,12.04
223,4.36
224,6.16
225,4.64
226,10.8
227,9.8
228,7.44
229,1.28
230,5.88
231,16.52
232,1.96
233,3.92
234,3.36
235,1.12
236,9.8
237,3.36
238,9.8
239,8.68
240,5.76
241,6.44
242,3.8
243,12.6
244,12.6
245,4.5600000000000005
246,8.84
247,7.0
248,4.2
249,4.76
250,14.0
251,6.44
252,11.76
253,12.6
254,1.68
255,1.12
256,1.68
257,0.84
258,4.2
259,5.04
260,6.44
261,7.28
262,8.120000000000001
263,6.16
264,8.96
265,4.2
266,5.6
267,5.6
268,7.0
269,5.6
270,5.6
271,2.8
272,5.32
273,10.08
274,4.2
275,2.8
276,5.6
277,1.0
278,4.2
279,6.72
280,9.8
281,1.12
282,8.4
283,4.2
284,6.16
285,6.32
286,6.72
287,10.36
288,13.16
289,5.6
290,3.8
291,6.6
292,10.08
293,2.8
294,5.32
295,7.28
296,7.28
297,5.6
298,2.8
299,6.44
300,3.08
301,5.6
302,10.36
303,2.8
304,6.16
305,3.559999999999924
306,5.04
307,1.96
308,7.28
309,8.120000000000001
310,5.6
311,8.4
312,12.6
313,8.4
314,3.92
315,7.0
316,7.0
317,3.36
318,5.32
319,4.2
320,4.48
321,3.92
322,8.96
323,7.0
324,4.48
325,3.0
326,5.04
327,6.44
328,7.0
329,5.6
330,3.08
331,4.76
332,2.8
333,7.28
334,13.16
335,13.88
336,7.56
337,1.96
338,12.04
339,5.48
340,2.24
341,1.0
342,10.36
343,2.24
344,3.08
345,1.68
346,1.96
347,5.88
348,2.24
349,11.76
350,1.68
351,7.0
352,1.68
353,1.12
354,4.2
355,1.4
356,2.24
357,3.64
358,1.12
359,0.44
360,9.52
361,3.92
362,7.0
363,4.2
364,5.6
365,2.8
366,4.2
367,3.64
368,1.68
369,5.04
370,10.64
371,1.4
372,0.84
373,1.12
374,2.24
375,6.72
376,3.08
377,1.4
378,11.2
379,2.8
380,2.24
381,4.2
382,2.52
383,3.92
