Hora,Tempo_Segundos,Objective_HigherBound,Best_LowerBound,Gap_Percent,Pico_Y,Custo_Roteamento,Qtd_Entregas
3,10800.0,281529.3521150001,264755.40254106827,5.958153012436134,43,281529.35211500333,6149
6,21600.0,279815.9701740001,264755.40254106827,5.382311675622582,49,279815.9701740035,6113
9,32400.0,279070.5948250001,264755.40254106827,5.129595360238013,42,279070.5948250034,6099
12,43200.0,278918.58539499994,264755.40254106827,5.07789139754671,43,278918.5853950032,6094
15,54000.0,278756.48102900013,264755.40254106827,5.0226916469344,43,278756.4810290033,6090
18,64800.0,278708.2817860001,264755.40254106827,5.006266464534147,44,278708.2817860033,6088
21,75600.0,278595.8446410001,264755.40254106827,4.967928404591491,43,278595.8446410033,6086
24,86400.0,278341.046257,264755.40254106827,4.880934342464079,41,278341.04625700304,6082
27,97200.0,278256.186432,264755.40254106827,4.851925868764488,43,278256.1864320029,6081
30,108000.0,278177.2753070001,264755.40254106827,4.824935017110678,42,278177.27530700306,6080
33,118800.0,278108.16405300004,264755.40254106827,4.801283542825839,44,278108.16405300295,6079
36,129600.0,278108.16405300004,264755.40254106827,4.801283542825839,42,278108.16405300307,6079
39,140400.0,278108.16405300004,264755.40254106827,4.801283542825839,42,278108.16405300307,6079
42,151200.0,278108.16405300004,264755.40254106827,4.801283542825839,42,278108.16405300307,6079
